rxn_id	kegg_reaction_id	ec_code	substrates	products
PFL	R00212	2.3.1.54	C00010;C00022	C00024;C00058
PGK	R01512	2.7.2.3	C00197;C00002	C00236;C00008
PGL	R02035	3.1.1.31	C01236;C00001	C00345;C00080
ACALD	R00228	1.2.1.10	C00084;C00010;C00003	C00024;C00080;C00004
PGM	R01518	5.4.2.1	C00631	C00197
ALCD2x	R00754	1.1.1.71	C00469;C00003	C00084;C00080;C00004
ACKr	R00315	2.7.2.15	C00033;C00002	C00227;C00008
PPC	R00345	4.1.1.31	C00011;C00001;C00074	C00080;C00036;C00009
ACONTa	R01325	4.2.1.3	C00158	C00417;C00001
ACONTb	R01900	4.2.1.3	C00417;C00001	C00311
ATPM	R00086	3.6.1.5	C00002;C00001	C00008;C00080;C00009
PPCK	R00341	4.1.1.49	C00002;C00036	C00008;C00011;C00074
PPS	R00199	2.7.9.2	C00002;C00001;C00022	C00020;C00080;C00074;C00009
ADK1	R00127	2.7.4.3	C00020;C00002	C00008
AKGDH	R08549	1.2.1.52	C00026;C00010;C00003	C00011;C00004;C00091
PTAr	R00230	2.3.1.8	C00024;C00009	C00227;C00010
PYK	R00200	2.7.1.40	C00008;C00080;C00074	C00002;C00022
RPE	R01529	5.1.3.1	C00199	C00231
CS	R00351	2.3.3.16	C00024;C00001;C00036	C00158;C00010;C00080
ENO	R00658	4.2.1.11	C00631	C00001;C00074
SUCOAS	R00405	6.2.1.5	C00002;C00010;C00042	C00008;C00009;C00091
TALA	R01827	2.2.1.2	C00661;C05382	C00279;C05345
TKT2	R01830	2.2.1.1	C00279;C00231	C05345;C00661
TPI	R01015	5.3.1.1	C00111	C00661
FBA	R01068	4.1.2.13	C00354	C00111;C00661
FUM	R01082	4.2.1.2	C00122;C00001	C00149
G6PDH2r	R00835	1.1.1.363	C00092;C00006	C01236;C00080;C00005
GAPD	R01061	1.2.1.12	C00661;C00003;C00009	C00236;C00080;C00004
GLNS	R00253	6.3.1.2	C00002;C00025;C00014	C00008;C00064;C00080;C00009
GLUDy	R00248	1.4.1.13	C00025;C00001;C00006	C00026;C00080;C00005;C00014
GLUN	R00256	6.3.5.2	C00064;C00001	C00025;C00014
GLUSy	R00114	1.4.1.13	C00026;C00064;C00080;C00005	C00025;C00006
GND	R01528	1.1.1.44	C00345;C00006	C00011;C00005;C00199
ICDHyr	R00267	1.1.1.42	C00311;C00006	C00026;C00011;C00005
ICL	R00479	4.1.3.1	C00311	C00048;C00042
LDH_D	R00704	1.1.1.28	C00256;C00003	C00080;C00004;C00022
MALS	R00472	2.3.3.9	C00024;C00048;C00001	C00010;C00080;C00149
MDH	R00342	1.1.1.37	C00149;C00003	C00080;C00004;C00036
ME1	R00214	1.1.1.38	C00149;C00003	C00011;C00004;C00022
ME2	R00216	1.1.1.40	C00149;C00006	C00011;C00005;C00022
NADTRHD	R00112	1.6.1.3	C00003;C00005	C00004;C00006
PDH	R00209	1.2.1	C00010;C00003;C00022	C00024;C00011;C00004
