ec_code,genes
1.1.1.28,b1380
3.6.3.42,
2.2.1.2,"b0008, b2464"
3.6.3.44,
1.2.1.59,
3.6.3.18,
6.3.1.2,b3870
1.1.1.71,
3.6.3.10,
1.1.1.1,"b0356, b1241, b1478, b3589"
4.1.1.31,b3956
3.6.3.22,
3.6.4.2,
2.3.3.9,"b2976, b4014"
3.6.1.3,
3.6.3.35,
4.2.1.11,b2779
4.1.3.1,b4015
3.6.3.32,
3.6.3.54,
3.6.3.28,
3.6.4.8,
2.3.1.54,"b0903, b3114"
3.6.3.23,
3.6.1.15,
1.8.1.4,b0116
1.2.1.12,b1779
1.1.1.39,
3.6.3.19,
3.6.3.41,
3.6.3.29,
3.6.3.9,
3.6.3.49,
5.4.2.1,
3.6.3.8,
3.6.1.8,
3.6.3.48,
1.1.1.363,b1852
3.5.1.38,
3.6.3.46,
3.6.3.39,
1.6.1.3,
3.6.4.7,
1.2.1.51,
2.7.2.1,b2296
3.6.3.30,
1.2.1.52,
3.6.3.12,
4.2.1.3,"b0118, b1276"
1.1.1.44,b2029
5.1.3.1,b3386
2.3.1.61,b0727
2.7.2.15,b3115
3.6.3.36,
3.6.4.10,
1.4.1.3,
1.1.1.38,b1479
3.6.3.38,
3.6.3.2,
3.6.3.17,
1.1.1.42,b1136
2.7.1.11,"b1723, b3916"
3.6.4.6,
1.1.1.299,
3.6.4.11,
5.4.2.12,b3612
3.6.3.4,
6.3.5.5,"b0032, b0033"
3.6.3.31,
1.4.1.13,"b3212, b3213"
3.6.3.20,
3.6.3.24,
4.1.1.49,b3403
3.6.4.5,
3.6.3.14,
4.3.3.6,
4.2.1.2,"b1611, b1612, b1675, b2929, b4122"
3.6.3.25,
3.6.3.21,
3.6.3.26,
3.6.3.1,
2.2.1.1,"b2465, b2935"
2.7.1.40,"b1676, b1854"
3.6.3.43,
1.2.1.10,"b0351, b1241"
3.6.3.40,
1.2.1,
4.1.2.13,"b2097, b2925"
1.6.1.2,
3.6.4.1,
3.6.1.5,
2.3.3.16,
1.4.7.1,
1.1.1.37,b3236
1.6.1.1,b3962
5.3.1.1,b3919
3.6.3.16,
6.3.5.4,b0674
2.3.3.3,
3.6.3.47,
3.6.3.51,
3.6.3.34,
1.1.1.40,b2463
3.6.4.4,
3.6.3.50,
6.3.4.2,b2780
3.6.3.7,
3.6.4.13,
3.6.4.3,
3.6.3.15,
2.3.3.1,b0720
1.6.5.3,
5.3.1.9,b4025
3.6.3.5,
1.4.1.4,b1761
3.6.4.9,
5.4.2.11,"b0755, b4395"
3.6.3.3,
2.7.4.3,b0474
6.3.5.2,b2507
5.3.1.6,"b2914, b4090"
6.2.1.5,"b0728, b0729"
3.6.4.12,
3.6.3.37,
3.6.3.33,
3.6.3.11,
3.1.1.31,b0767
2.3.1.8,b2297
3.6.3.52,
1.1.1.49,b1852
3.6.3.6,
2.7.2.3,b2926
1.2.4.2,b0726
3.6.3.53,
3.1.3.11,"b2930, b3925, b4232"
1.2.4.1,b0114
1.1.1.351,
2.7.9.2,b1702
2.3.1.12,b0115
3.6.3.27,
3.5.1.2,"b0485, b1524"
